name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,stop_cnt,tp_cnt,exp_cnt,composite
C_追涨_vy1.5_va3_p5,C-追涨突破,2,600,281,319,46.833333333333336,0.4329880530346356,-0.2702702702702675,22.361984626135566,-18.71559633027524,6.057856390783815,-4.521833272694262,1.339690348019917,83,210,307,49.42063217184241
C_追涨_vy2_va3_p5,C-追涨突破,2,463,223,240,48.16414686825054,0.6113230732810044,-0.1588562351072298,22.361984626135566,-18.71559633027524,6.1397050701992155,-4.525465198855497,1.3567014219338078,61,155,247,49.67951616030883
C_追涨_vy1.5_va2_p5,C-追涨突破,2,1093,520,573,47.57548032936871,0.4104967665363268,-0.1588562351072298,22.361984626135566,-18.71559633027524,5.702508982851394,-4.3920274088281355,1.29837736699665,156,389,548,51.49762691681643
D_断板_l2_r2_b-8,D-断板反包,2,118,54,64,45.76271186440678,0.019249730824758886,-0.9998863765481314,23.090909090909072,-16.925465838509325,7.639466326566333,-6.410308021832197,1.1917471517043914,41,15,62,44.460330444410594
D_断板_l3_r2_b-5,D-断板反包,2,28,10,18,35.714285714285715,-1.2384151850192777,-1.5217391304347738,22.222222222222232,-16.925465838509325,6.748550313226562,-5.6756182396003,1.1890423260218823,10,5,13,33.75547015779643
N22_d15_p5_v1.5,N22-V型反转,2,68,42,26,61.76470588235294,0.7404150340534799,1.4390243902439037,16.613076098606648,-12.384937238493709,3.497820546293875,-3.7138554087963884,0.9418300287106418,4,13,51,54.24460099701381
N22_d15_p4_v1.2,N22-V型反转,2,94,55,39,58.51063829787234,0.7355061424575804,1.2991573033707793,16.613076098606648,-12.384937238493709,3.8605474551083794,-3.6716034010243144,1.0514609105197346,10,18,66,52.79820427081161
N22_d15_p4_v1.3,N22-V型反转,2,84,48,36,57.14285714285714,0.5178097586068886,1.1844331641285955,16.613076098606648,-12.384937238493709,3.538372156347124,-3.509606771713424,1.0081961845029312,8,17,59,51.551554262416566
N22_d12_p4_v1.2,N22-V型反转,2,37,23,14,62.16216216216216,1.5377111058203075,1.4390243902439037,16.613076098606648,-12.384937238493709,4.574366915667444,-3.451080581785703,1.3254882948286635,2,6,29,52.97177874351726
N22_d15_p6_v1.5,N22-V型反转,2,65,40,25,61.53846153846154,0.6910716639583856,1.2991573033707793,16.613076098606648,-12.384937238493709,3.433650356701636,-3.697054244430815,0.9287530367924769,3,13,49,53.97064875989345
N36_cd2_p4_v1.3,N36-连续下跌反弹,2,667,311,356,46.62668665667166,0.25836807494242553,-0.3731343283582156,24.792013311148086,-13.827993254637427,4.371472639307255,-3.334821586623482,1.3108565258309322,90,221,356,49.550797645048625
N36_cd1_p4_v1.3,N36-连续下跌反弹,2,893,432,461,48.37625979843225,0.5179017025651858,-0.14388489208633226,24.792013311148086,-17.350157728706616,4.750433230151873,-3.4483751302275443,1.3775859791212481,121,281,491,51.53322796682104
N36_cd2_p5_v1.5,N36-连续下跌反弹,2,511,237,274,46.37964774951076,0.1157320689260666,-0.3583159151985815,24.792013311148086,-13.827993254637427,4.198627785446933,-3.41582371507191,1.2291699266917653,51,187,273,48.68632561281583
N36_cd2_p3_v1.3,N36-连续下跌反弹,2,793,367,426,46.27994955863809,0.2190366866955385,-0.3663003663003539,24.792013311148086,-13.827993254637427,4.25716476802358,-3.2598201345424753,1.3059508170137384,139,241,413,49.75737513365105
S1_箱体_a20_v1.3,S1-箱体突破,3,803,343,460,42.71481942714819,0.5619177341574763,-0.818181818181829,38.78453038674032,-16.843702579666154,6.821597129868621,-4.1056258152532275,1.661524317322103,188,408,207,47.294327004383184
S1_箱体_a20_v1.5,S1-箱体突破,3,752,327,425,43.484042553191486,0.5813580736500704,-0.7668711656441674,38.78453038674032,-16.843702579666154,6.650800338061114,-4.088542209790898,1.626692350670695,173,384,195,47.662384934609356
S1_箱体_a15_v1.5,S1-箱体突破,3,394,166,228,42.13197969543147,0.5434108786428274,-0.9195402298850519,33.446808510638306,-14.406318082788673,6.654102656082824,-3.9056015558091017,1.7037331025705027,67,222,105,45.03837833824231
S2_底部_d20_p5_v2.0,S2-底部放量反转,3,330,164,166,49.696969696969695,0.8430878652010745,0.0,32.085561497326196,-15.02311248073961,5.43903580016866,-3.6974872030801493,1.4710086881809175,52,178,100,49.87424982639257
S2_底部_d15_p5_v2.0,S2-底部放量反转,3,130,70,60,53.84615384615385,0.8895953466505762,0.40816326530610514,26.54545454545454,-12.384937238493709,4.898926875080986,-3.7879581031849026,1.2932896145186992,18,65,47,50.368546084117824
S2_底部_d20_p4_v1.8,S2-底部放量反转,3,401,206,195,51.3715710723192,0.9307520047641488,0.12763241863433805,32.085561497326196,-15.02311248073961,5.322041470190837,-3.7082512253789197,1.4351890275845633,64,211,126,51.55176735731863
A_竞价_g3-6_p7_v1.5,A-竞价追涨,3,177,77,100,43.50282485875706,0.5288270988879594,-0.894495412844043,33.128834355828204,-17.09090909090909,9.516781223821607,-6.391897577310947,1.48888199610753,51,84,42,43.925385598509806
A_竞价_g3-7_p5_v1.5,A-竞价追涨,3,285,128,157,44.91228070175438,0.443484541937506,-0.894495412844043,33.128834355828204,-19.00532859680285,8.735435539238997,-6.316832194715939,1.3828823166374804,84,141,60,46.14501672059447
