name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
N22_d12_p5_v1.2,N22-V型反转,3,34,20,14,58.82352941176471,1.8883398323033433,1.4245014245014342,14.69740634005763,-12.468619246861913,5.748124823428686,-3.6256387264471455,1.5854102565429673
N22_d12_p6_v1.2,N22-V型反转,3,34,20,14,58.82352941176471,1.8883398323033433,1.4245014245014342,14.69740634005763,-12.468619246861913,5.748124823428686,-3.6256387264471455,1.5854102565429673
N22_d15_p3_v1.8,N22-V型反转,3,63,37,26,58.730158730158735,1.9479366693455218,1.1235955056179803,15.282623866015355,-12.468619246861913,5.736144192955592,-3.4429740373303463,1.6660434062997904
N22_d12_p5_v1.3,N22-V型反转,3,29,17,12,58.620689655172406,1.8280857290050079,1.4245014245014342,14.69740634005763,-12.468619246861913,5.698470208780954,-3.6549589506775804,1.5591064867430409
N22_d12_p6_v1.3,N22-V型反转,3,29,17,12,58.620689655172406,1.8280857290050079,1.4245014245014342,14.69740634005763,-12.468619246861913,5.698470208780954,-3.6549589506775804,1.5591064867430409
N22_d15_p2_v1.8,N22-V型反转,3,70,41,29,58.57142857142858,1.8317830653897422,1.2658227848101333,15.282623866015355,-12.468619246861913,5.545646789877958,-3.418851855438424,1.6220787048893055
N22_d15_p6_v2.0,N22-V型反转,3,43,25,18,58.139534883720934,1.363034088699171,1.0999999999999899,15.282623866015355,-12.468619246861913,4.783087686958217,-3.3870403533272824,1.412173221455575
N22_d15_p5_v1.2,N22-V型反转,3,81,47,34,58.0246913580247,1.5662183089816561,1.0935601458080368,15.282623866015355,-12.468619246861913,5.3033463555404285,-3.599811637731942,1.4732288489632746
N22_d12_p4_v2.0,N22-V型反转,3,19,11,8,57.89473684210527,1.5573384412916351,1.4245014245014342,14.69740634005763,-12.468619246861913,5.534793721153343,-3.9116625685182123,1.4149466177625831
N22_d12_p5_v2.0,N22-V型反转,3,19,11,8,57.89473684210527,1.5573384412916351,1.4245014245014342,14.69740634005763,-12.468619246861913,5.534793721153343,-3.9116625685182123,1.4149466177625831
N22_d12_p6_v2.0,N22-V型反转,3,19,11,8,57.89473684210527,1.5573384412916351,1.4245014245014342,14.69740634005763,-12.468619246861913,5.534793721153343,-3.9116625685182123,1.4149466177625831
N22_d15_p2_v2.5,N22-V型反转,3,38,22,16,57.89473684210527,0.987483143376976,1.0999999999999899,15.282623866015355,-12.468619246861913,4.882528977740683,-4.36820487887312,1.117742668471229
N22_d15_p5_v1.3,N22-V型反转,3,76,44,32,57.89473684210527,1.522034406188759,1.0999999999999899,15.282623866015355,-12.468619246861913,5.253835813434151,-3.609192528773655,1.4556817824343993
N22_d15_p4_v2.0,N22-V型反转,3,45,26,19,57.77777777777777,1.322082422052505,1.0999999999999899,15.282623866015355,-12.468619246861913,4.935185228320449,-3.622163523366788,1.3624965290725506
N22_d15_p5_v2.0,N22-V型反转,3,45,26,19,57.77777777777777,1.322082422052505,1.0999999999999899,15.282623866015355,-12.468619246861913,4.935185228320449,-3.622163523366788,1.3624965290725506
N22_d15_p6_v1.2,N22-V型反转,3,78,45,33,57.692307692307686,1.4683711146765284,1.0935601458080368,15.282623866015355,-12.468619246861913,5.090492489857274,-3.470885306024489,1.466626535028858
N22_d15_p4_v1.3,N22-V型反转,3,85,49,36,57.647058823529406,1.5299983705685587,0.8810572687224738,25.370370370370352,-12.468619246861913,5.511922320174442,-3.8898425608394476,1.4170039619765333
N22_d15_p6_v1.3,N22-V型反转,3,73,42,31,57.534246575342465,1.4156695724328872,0.6968641114982521,15.282623866015355,-12.468619246861913,5.023420455339996,-3.4722509786025504,1.4467331095293499
N22_d15_p2_v1.5,N22-V型反转,3,103,59,44,57.28155339805825,1.2248558240048049,0.8810572687224738,15.282623866015355,-12.468619246861913,4.9539337444847025,-3.7754986602750575,1.312127003674739
N22_d12_p3_v1.2,N22-V型反转,3,42,24,18,57.14285714285714,2.1098690784549157,1.317715959004384,25.370370370370352,-12.468619246861913,6.440909829125059,-3.66485192243861,1.757481602377879
