name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl
N22_d18_p2_v1.5,N22-V型反转,2,159,86,73,54.088050314465406,0.7735718116159481,0.7553366174055665,16.613076098606648,-13.827993254637427,4.38381658417342,-3.4795932629038138,1.2598646603065922
N22_d18_p2_v1.8,N22-V型反转,2,105,58,47,55.23809523809524,0.7228333671043471,0.779678068410461,16.613076098606648,-13.827993254637427,4.156277058429096,-3.5141822519772594,1.182715283503171
N22_d18_p2_v2.0,N22-V型反转,2,84,44,40,52.38095238095239,0.5280524087109825,0.7122507122507171,16.613076098606648,-13.827993254637427,4.506796810513079,-3.8485664332713236,1.1710326140017422
N22_d18_p3_v1.2,N22-V型反转,2,174,94,80,54.02298850574713,0.8955345233449065,0.7122507122507171,16.613076098606648,-13.827993254637427,4.532126360996879,-3.3774608858961614,1.341873825962708
N22_d18_p3_v1.3,N22-V型反转,2,158,84,74,53.16455696202531,0.768448610693236,0.660066006600668,16.613076098606648,-13.827993254637427,4.420816869682628,-3.3774829265379664,1.3089087245850608
N22_d18_p3_v1.5,N22-V型反转,2,129,69,60,53.48837209302325,0.6195727421795437,0.7122507122507171,16.613076098606648,-13.827993254637427,4.290224089646531,-3.601676307407492,1.1911742542834618
N22_d18_p3_v1.8,N22-V型反转,2,96,53,43,55.208333333333336,0.6904249879277082,0.8812125484666922,16.613076098606648,-13.827993254637427,4.065986101331171,-3.4701503378951646,1.1717031556037463
N22_d18_p3_v2.0,N22-V型反转,2,76,39,37,51.31578947368421,0.45161882842315054,0.6964285714285756,16.613076098606648,-13.827993254637427,4.4290321447241014,-3.7407898022724453,1.1839831636713627
N22_d18_p4_v1.2,N22-V型反转,2,148,82,66,55.4054054054054,1.0534737299102468,1.1844331641285955,16.613076098606648,-13.827993254637427,4.791359043651,-3.5905655992828107,1.334430164598034
N22_d18_p4_v1.3,N22-V型反转,2,136,74,62,54.41176470588235,0.9314500172226323,0.8812125484666922,16.613076098606648,-13.827993254637427,4.667287454163607,-3.5274527300940157,1.3231325296991894
N22_d18_p4_v1.5,N22-V型反转,2,117,65,52,55.55555555555556,0.7123619908008233,0.8812125484666922,16.613076098606648,-13.827993254637427,4.260591657318759,-3.722925092346597,1.1444204628445172
N22_d18_p4_v1.8,N22-V型反转,2,86,50,36,58.139534883720934,0.8370969590869065,1.2566457225712702,16.613076098606648,-13.827993254637427,4.0055644329722275,-3.5635523101982622,1.1240369396315593
N22_d18_p4_v2.0,N22-V型反转,2,70,38,32,54.285714285714285,0.5726475890740054,0.7553366174055665,16.613076098606648,-13.827993254637427,4.241941897520485,-3.7846394022061896,1.1208311933358088
N22_d18_p5_v1.2,N22-V型反转,2,125,67,58,53.6,0.9361664210445171,0.8812125484666922,16.613076098606648,-13.827993254637427,4.746277947853982,-3.465169308200902,1.3697102582032925
N22_d18_p5_v1.3,N22-V型反转,2,118,63,55,53.38983050847458,0.8277221977194494,0.8812125484666922,16.613076098606648,-13.827993254637427,4.578750488546776,-3.468910208137307,1.3199391779602785
N22_d18_p5_v1.5,N22-V型反转,2,102,57,45,55.88235294117647,0.7213807901677735,1.1844331641285955,16.613076098606648,-13.827993254637427,4.197560308436119,-3.6817799329721304,1.1400899523746446
N22_d18_p5_v1.8,N22-V型反转,2,80,46,34,57.49999999999999,0.7815634811041845,1.2566457225712702,16.613076098606648,-13.827993254637427,4.069627539778631,-3.666993774749478,1.1097994132964297
N22_d18_p5_v2.0,N22-V型反转,2,67,36,31,53.73134328358209,0.5553496195025177,0.7553366174055665,16.613076098606648,-13.827993254637427,4.303529301910894,-3.7973751729717256,1.133290524608098
N22_d18_p6_v1.2,N22-V型反转,2,116,61,55,52.58620689655172,0.8398136616184515,0.7553366174055665,16.613076098606648,-13.827993254637427,4.821539247698397,-3.5762819883974903,1.3481988454324596
N22_d18_p6_v1.3,N22-V型反转,2,110,58,52,52.72727272727272,0.755388408118608,0.7553366174055665,16.613076098606648,-13.827993254637427,4.648249583220834,-3.5866490564184916,1.295986730260814
N22_d18_p6_v1.5,N22-V型反转,2,95,53,42,55.78947368421052,0.6808814497344837,1.1844331641285955,16.613076098606648,-13.827993254637427,4.265651399900595,-3.8427568207132263,1.1100497894917218
N22_d18_p6_v1.8,N22-V型反转,2,74,42,32,56.75675675675676,0.7239065243367738,1.2566457225712702,16.613076098606648,-13.827993254637427,4.143367939135471,-3.7641365825865156,1.1007485643064439
N22_d18_p6_v2.0,N22-V型反转,2,63,33,30,52.38095238095239,0.500559134966242,0.7122507122507171,16.613076098606648,-13.827993254637427,4.397574889304879,-3.7861581948062595,1.1614873608126948
S2_d10_p2_v1.3,S2-底部放量反转,2,16,10,6,62.5,2.111496387163498,2.3863835760659757,13.90013495276654,-4.0000000000000036,4.564663894569256,-1.9771161251794327,2.3087485031538
S2_d15_p2_v1.3,S2-底部放量反转,2,290,150,140,51.724137931034484,0.3926689975805688,0.2336448598130758,19.23743500866553,-12.69315673289183,3.7301359948719544,-3.183188499517343,1.1718237846855577
S2_d15_p2_v1.5,S2-底部放量反转,2,245,131,114,53.46938775510204,0.5297378745053849,0.3827751196172402,19.23743500866553,-12.69315673289183,3.928236442109391,-3.375554339144834,1.1637307675824806
S2_d15_p2_v1.8,S2-底部放量反转,2,188,104,84,55.319148936170215,0.6236067370270262,0.7122507122507171,19.23743500866553,-12.69315673289183,3.8452688104547,-3.3651177348358083,1.142684777607735
S2_d15_p2_v2.0,S2-底部放量反转,2,157,86,71,54.77707006369427,0.6097878565451886,0.6964285714285756,19.23743500866553,-12.384937238493709,3.9385935853954717,-3.4222866882593803,1.1508660565777122
S2_d15_p2_v2.5,S2-底部放量反转,2,116,62,54,53.44827586206896,0.5774857707947665,0.40816326530610514,19.23743500866553,-12.384937238493709,4.029655881698053,-3.3861169491312295,1.1900521872795726
