name,cat,hold_days,signals,wins,losses,wr,avg,avg_w,avg_l,pl
S2_d15_p4_v2.0,S2-底部放量反转,2,131,70,61,53.43511450381679,0.47602793780989006,3.913714849998747,-3.468858682734698,1.1282428048966653
S2_d15_p4_v2.5,S2-底部放量反转,2,97,50,47,51.546391752577314,0.37384639343541237,3.8817562809391934,-3.35797263582393,1.1559821064434448
S2_d15_p5_v1.3,S2-底部放量反转,2,189,100,89,52.910052910052904,0.447078724679517,3.883147526543558,-3.4136727380890703,1.1375277668583117
S2_d15_p5_v1.5,S2-底部放量反转,2,174,95,79,54.59770114942529,0.5360785676546053,3.967170043227475,-3.5899175105659342,1.1050866855717998
S2_d15_p5_v1.8,S2-底部放量反转,2,152,84,68,55.26315789473685,0.5237875568749546,3.860347797065192,-3.5978456810071036,1.0729609158735818
S2_d15_p5_v2.0,S2-底部放量反转,2,130,69,61,53.07692307692308,0.46510151154591167,3.9429503789534084,-3.468858682734698,1.1366708014305607
S2_d15_p5_v2.5,S2-底部放量反转,2,96,49,47,51.041666666666664,0.3579858001157073,3.922272463159849,-3.35797263582393,1.1680477742182254
S2_d20_p2_v1.3,S2-底部放量反转,2,764,385,379,50.39267015706807,0.6062077833571704,4.435632611382956,-3.2838411844262803,1.3507451677075866
S2_d20_p2_v1.5,S2-底部放量反转,2,647,325,322,50.23183925811438,0.5320991568858943,4.408874259330103,-3.380794968251895,1.304093948533589
S2_d20_p2_v1.8,S2-底部放量反转,2,519,265,254,51.05973025048169,0.5067914251687661,4.25239927869816,-3.4010277920961527,1.250327706401153
S2_d20_p2_v2.0,S2-底部放量反转,2,447,226,221,50.55928411633109,0.5704274027947793,4.395380899659547,-3.3410635035013145,1.3155634111872898
S2_d20_p2_v2.5,S2-底部放量反转,2,324,159,165,49.074074074074076,0.5568811430842507,4.60300616350156,-3.3421120584087944,1.3772746344397224
S2_d20_p3_v1.3,S2-底部放量反转,2,630,321,309,50.95238095238095,0.6419143964085153,4.487097319650945,-3.35259601899867,1.3383948719807643
S2_d20_p3_v1.5,S2-底部放量反转,2,544,275,269,50.55147058823529,0.5472496837587351,4.455258671834313,-3.447926791039719,1.2921558205389954
S2_d20_p3_v1.8,S2-底部放量反转,2,453,235,218,51.87637969094923,0.5609831745536203,4.284531320982423,-3.4529334053122875,1.2408380985253682
S2_d20_p3_v2.0,S2-底部放量反转,2,390,198,192,50.76923076923077,0.5828600984580271,4.422560679000042,-3.3768311252259235,1.3096777762921605
S2_d20_p3_v2.5,S2-底部放量反转,2,284,141,143,49.647887323943664,0.5898075498168668,4.604311955203277,-3.3685499408088955,1.3668528108856348
S2_d20_p4_v1.3,S2-底部放量反转,2,537,277,260,51.5828677839851,0.746963029612171,4.67060687022265,-3.4332267544228396,1.3604131635656633
S2_d20_p4_v1.5,S2-底部放量反转,2,476,243,233,51.05042016806722,0.597682076297615,4.530206023781038,-3.5036197230091313,1.2930073415302643
