name,cat,hold_days,signals,wins,losses,wr,avg,med,max_g,max_l,avg_w,avg_l,pl,composite,wilson_lower
N22_d20_p2_v1.5,N22-V型反转,4,206,123,83,59.70873786407766,1.6780659951552594,1.3559322033898313,39.03192584963953,-16.48535564853556,5.867073620873487,-4.529740486330789,1.2952339407916,54.550562659049405,52.89218676220961
N22_d20_p2_v1.8,N22-V型反转,4,138,83,55,60.14492753623188,1.6710492917207909,0.8460236886632888,39.03192584963953,-16.48535564853556,5.95888562169306,-4.7996855335100905,1.2415158410045308,53.90339955987314,51.808069717678485
N22_d20_p2_v2.0,N22-V型反转,4,112,68,44,60.71428571428571,1.6032195636335136,0.8210180623973606,39.03192584963953,-16.48535564853556,5.793253427407546,-4.87228731674454,1.189021305762887,53.80665533309392,51.458094443119876
N22_d20_p2_v2.5,N22-V型反转,4,74,40,34,54.054054054054056,1.2120948513785148,0.4545454545454408,39.03192584963953,-16.48535564853556,6.574145660715165,-5.096200218429306,1.290009296915217,48.164122009247684,42.78114521014677
N22_d20_p3_v1.2,N22-V型反转,4,218,128,90,58.71559633027523,2.2423665544761375,1.0863350485992074,41.2987012987013,-16.48535564853556,6.900981721322127,-4.383219460593714,1.5744093544399849,53.99014483351574,52.08396644588629
N22_d20_p3_v1.3,N22-V型反转,4,201,117,84,58.2089552238806,2.2626939762233254,0.8170676350431227,41.2987012987013,-16.48535564853556,7.019342219199168,-4.3626375050644555,1.6089675594295019,53.44223428761734,51.29890102038507
N22_d20_p3_v1.5,N22-V型反转,4,169,99,70,58.57988165680473,1.8535508691568274,0.8210180623973606,39.03192584963953,-16.48535564853556,6.3371208317927366,-4.487498077999671,1.4121723779361586,53.289382154557565,51.043060629102264
N22_d20_p3_v1.8,N22-V型反转,4,125,74,51,59.199999999999996,1.8267843488781192,0.771553170077155,39.03192584963953,-16.48535564853556,6.312994528482184,-4.682618656821897,1.348176093580686,53.00710105296016,50.43494517691636
N22_d20_p3_v2.0,N22-V型反转,4,101,60,41,59.4059405940594,1.7571750178854069,0.5918827508455404,39.03192584963953,-16.48535564853556,6.162824987189681,-4.690117620120848,1.314002224752497,52.64586427330151,49.65480852174328
N22_d20_p3_v2.5,N22-V型反转,4,68,37,31,54.41176470588235,1.493068244904709,0.4545454545454408,39.03192584963953,-16.48535564853556,6.830098069413831,-4.87693509402553,1.4004898440787157,48.215092816065614,42.656397784293446
N22_d20_p4_v1.2,N22-V型反转,4,183,116,67,63.387978142076506,3.0126304401567863,1.4808362369338024,41.2987012987013,-16.48535564853556,7.137432199484439,-4.128817381962734,1.728686822203671,56.84432513384687,56.19951129575564
N22_d20_p4_v1.3,N22-V型反转,4,170,107,63,62.94117647058823,3.0271057277393574,1.4550928248870942,41.2987012987013,-16.48535564853556,7.2654037948229,-4.17127352905333,1.7417711267838583,56.35631633124846,55.47003417094839
N22_d20_p4_v1.5,N22-V型反转,4,148,93,55,62.83783783783784,2.473343295844148,1.4808362369338024,39.03192584963953,-16.48535564853556,6.4121836278232704,-4.186877629138729,1.5314953518577765,55.95459622410576,54.819801684367675
N22_d20_p4_v1.8,N22-V型反转,4,109,68,41,62.38532110091744,2.460479377870301,1.3215859030836885,39.03192584963953,-16.48535564853556,6.413525149231834,-4.095791657558584,1.565881686729838,54.912024627155006,53.01571256769941
N22_d20_p4_v2.0,N22-V型反转,4,90,55,35,61.111111111111114,2.1816222291854315,0.8210180623973606,39.03192584963953,-16.48535564853556,6.213083773253528,-4.15353162577872,1.4958556556286424,53.56655493168779,50.78226845453937
N22_d20_p4_v2.5,N22-V型反转,4,64,36,28,56.25,1.7814372671384169,0.49157303370785943,39.03192584963953,-16.48535564853556,6.508127109353688,-4.29573538713836,1.5150204849300857,49.35902498325617,44.08599177828787
N22_d20_p5_v1.2,N22-V型反转,4,154,95,59,61.68831168831169,2.676113575261758,1.329144514258096,41.2987012987013,-16.48535564853556,6.8850470031092135,-4.100982622119737,1.6788773904997516,55.244350743576,53.81425836425444
N22_d20_p5_v1.3,N22-V型反转,4,147,92,55,62.585034013605444,2.797902588478716,1.329144514258096,41.2987012987013,-16.48535564853556,6.950099162503178,-4.147589862616748,1.675695860178013,55.76152753177133,54.535452530595094
N22_d20_p5_v1.5,N22-V型反转,4,129,81,48,62.7906976744186,2.2842524521265073,1.329144514258096,39.03192584963953,-16.48535564853556,6.0827555041738455,-4.12572144820338,1.4743495363272021,55.595337203579994,54.19266716443314
N22_d20_p5_v1.8,N22-V型反转,4,101,60,41,59.4059405940594,2.032602498712174,0.5918827508455404,39.03192584963953,-16.48535564853556,6.2203385054971925,-4.095791657558584,1.518714579638801,52.64586427330151,49.65480852174328
N22_d20_p5_v2.0,N22-V型反转,4,85,50,35,58.82352941176471,1.802665213585937,0.5181347150259086,39.03192584963953,-16.48535564853556,5.972003001141196,-4.15353162577872,1.4378132970208317,51.830085553625516,48.200820902440995
N22_d20_p5_v2.5,N22-V型反转,4,62,34,28,54.83870967741935,1.782038125391901,0.4545454545454408,39.03192584963953,-16.48535564853556,6.787263371005057,-4.29573538713836,1.5800003397151632,48.2963739789229,42.53229453059871
